"Wal-Mart Stores Inc"," Bentonville"," AR"," > 100K"," Retail"," Department Stores"," Wholesale & Distribution"," Grocery and Food Wholesalers"," Wholesale & Distribution"," Apparel Wholesalers"
"DuPont", "Wilmington"," DE"," 50K - 100K"," Manufacturing"," Chemicals and Petrochemicals"," Healthcare"," Pharmaceuticals"," & Biotech"," Biotechnology"
"Sears Holdings Corporation"," Hoffman Estates"," IL"," > 100K"," Retail"," Department Stores"," Retail"," Furniture Stores"," Retail"," Clothing and Shoes Stores"
"New York Life Insurance Company"," New York"," NY"," 10K - 50K"," Financial Services"," Insurance and Risk Management"," Financial Services"," Personal Financial Planning and Private Banking"," Financial Services"," Securities Agents and Brokers"
"Mondelez International Inc"," Deerfield"," IL"," > 100K"," Wholesale & Distribution"," Grocery and Food Wholesalers"
"American Express Global Corporate Payments"," New York"," NY"," > 100K"," Financial Services"," Credit Cards and Related Services"
"American Express Company"," New York"," NY"," > 100K"," Financial Services"," Credit Cards and Related Services"," Travel"," Recreation"," and Leisure"," Travel Agents & Services"," Financial Services"," Insurance and Risk Management"
"Nationwide Mutual Insurance Company"," Columbus"," OH"," 10K - 50K"," Financial Services"," Insurance and Risk Management"
"Allstate Insurance Company"," Northbrook"," IL"," 10K - 50K"," Financial Services"," Insurance and Risk Management"," Financial Services"," Personal Financial Planning and Private Banking"," Financial Services"," Securities Agents and Brokers"
"Tyson Foods Inc."," Springdale"," AR"," > 100K"," Manufacturing"," Food & Dairy Product Manufacturing and Packaging"," Consumer Services"," Consumer Services Other"," Wholesale & Distribution"," Grocery and Food Wholesalers"
"Supervalu Inc."," Eden Prairie"," MN"," > 100K"," Retail"," Grocery and Specialty Food Stores"," Consumer Services"," Consumer Services Other"," Wholesale & Distribution"," Grocery and Food Wholesalers"
"TIAA-CREF"," New York"," NY"," 1K - 10K"," Financial Services"," Securities Agents and Brokers"," Business Services"," Business Services Other"
"Massachusetts Mutual Financial Group"," Springfield"," MA"," 10K - 50K"," Financial Services"," Insurance and Risk Management"
"CIGNA Corporation"," Hartford"," CT"," 10K - 50K"," Financial Services"," Insurance and Risk Management"," Healthcare"," Pharmaceuticals"," & Biotech"," Healthcare"," Pharmaceuticals"," and Biotech Other"," Financial Services"," Financial Services Other"
"DIRECTV","El Segundo"," CA"," 10K - 50K"," Telecommunications"," Cable Television Providers"," Business Services"," Sales Services"
"General Dynamics Corporation"," Falls Church"," VA"," 50K - 100K"," Manufacturing"," Aerospace and Defense"," Computers & Electronics"," IT and Network Services and Support"
"Phillip Morris International"," New York"," NY"," 50K - 100K"," Manufacturing"," Manufacturing Other"
"3M Company"," Saint Paul"," MN"," > 100K"," Manufacturing"," Chemicals and Petrochemicals"," Manufacturing"," Plastics and Rubber Manufacturing"," Healthcare"," Pharmaceuticals"," & Biotech"," Medical Supplies and Equipment"
"Time Warner Inc."," New York"," NY"," 50K - 100K"," Media & Entertainment"," Media & Entertainment Other"
"Halliburton Company"," Houston"," TX"," 50K - 100K"," Energy & Utilities"," Energy & Utilities Other"," Manufacturing"," Chemicals and Petrochemicals"," Energy & Utilities"," Gas and Electric Utilities"
"Publix Super Markets Inc."," Lakeland"," FL"," > 100K"," Retail"," Grocery and Specialty Food Stores Consumer Services"," Consumer Services Other"
"International Paper Company"," Memphis"," TN"," 50K - 100K"," Manufacturing"," Paper and Paper Products"
"McDonald's Corporation"," Oak Brook"," IL"," > 100K"," Retail"," Restaurants and Bars"
"Macy's Inc."," Cincinnati"," OH"," > 100K"," Retail"," Department Stores"," Retail"," Clothing and Shoes Stores"," Retail"," Jewelry"," Luggage"," and Leather Goods Stores"
"The TJX Companies Inc."," Framingham"," MA"," > 100K"," Retail"," Department Stores"," Retail"," Clothing and Shoes Stores"," Wholesale & Distribution"," Apparel Wholesalers"
"Fluor Corporation"," Irving"," TX"," 10K - 50K"," Real Estate & Construction"," Architecture"," Engineering and Design"," Business Services"," Facilities Management and Maintenance"
"Northwestern Mutual Life Insurance Company"," Milwaukee"," WI"," 10K - 50K"," Financial Services"," Insurance and Risk Management"
"Tech Data Corporation"," Clearwater"," FL"," 1K - 10K"," Computers & Electronics"," Consumer Electronics"," Parts and Repair"," Computers & Electronics"," Audio"," Video and Photography"," Wholesale & Distribution"," Wholesale & Distribution Other"
"American Airlines"," Fort Worth"," TX"," 50K - 100K"," Travel"," Recreation"," and Leisure"," Passenger Airlines"
"The Hartford Financial Services Group Inc."," Hartford"," CT"," > 100K"," Financial Services"," Insurance and Risk Management"
"The Travelers Companies Inc."," New York"," NY"," 10K - 50K"," Financial Services"," Insurance and Risk Management"," Financial Services"," Financial Services Other"
"Nike Southwest Regional Office"," Dallas"," TX"," 25 - 100"," Manufacturing"," Textiles"," Apparel and Accessories"
"Occidental Petroleum Corporation"," Houston"," TX"," 1K - 10K"," Manufacturing"," Chemicals and Petrochemicals"
"Avnet Inc."," Phoenix"," AZ"," 10K - 50K"," Computers & Electronics"," Instruments and Controls"," Wholesale & Distribution"," Wholesale & Distribution Other"," Computers & Electronics"," Computers & Electronics Other"
"Rite Aid Corporation"," Camp Hill"," PA"," 50K - 100K"," Retail"," Retail Other"," Healthcare"," Pharmaceuticals"," & Biotech"," Medical Supplies and Equipment"," Retail"," Grocery and Specialty Food Stores"
"Exelon Corporation"," Chicago"," IL"," 10K - 50K"," Energy & Utilities"," Gas and Electric Utilities"
"Qualcomm Incorporated"," San Diego"," CA"," 10K - 50K"," Telecommunications"," Wireless and Mobile"," Computers & Electronics"," Computers & Electronics Other"," Telecommunications"," Video and Teleconferencing"
"Emerson Electric Company"," Saint Louis"," MO"," > 100K"," Manufacturing"," Tools"," Hardware and Light Machinery"," Computers & Electronics"," Instruments and Controls"," Computers & Electronics"," Computers & Electronics Other"
"Northrop Grumman Corporation"," Falls Church"," VA"," 50K - 100K"," Manufacturing"," Aerospace and Defense"," Manufacturing"," Heavy Machinery"," Business Services"," Business Services Other"
"Duke Energy Corporation"," Charlotte"," NC"," 10K - 50K"," Energy & Utilities"," Gas and Electric Utilities"," Energy & Utilities"," Gas and Electric Utilities"
"Capital One Financial Corporation"," Mc Lean"," VA"," 50K - 100K"," Financial Services"," Credit Cards and Related Services"," Financial Services"," Banks"," Financial Services"," Investment Banking and Venture Capital"
"AFLAC"," Columbus"," GA"," 1K - 10K"," Financial Services"," Insurance and Risk Management"
"Raytheon Company"," Waltham"," MA"," 50K - 100K"," Software & Internet"," Software"," Computers & Electronics"," Instruments and Controls"," Manufacturing"," Aerospace and Defense"
"Staples Inc."," Framingham"," MA"," 10K - 50K"," Retail"," Office Supplies Stores"," Wholesale & Distribution"," Office Equipment and Supplies Wholesalers"," Computers & Electronics"," Computers"," Parts and Repair"
"EMC Corporation"," Hopkinton"," MA"," 50K - 100K"," Computers & Electronics"," Networking Equipment and Systems"," Software & Internet"," Data Analytics"," Management and Storage"," Computers & Electronics"," Network Security Products"
"Eli Lilly and Company"," Indianapolis"," IN"," 10K - 50K"," Healthcare"," Pharmaceuticals"," & Biotech"," Pharmaceuticals"," Healthcare"," Pharmaceuticals"," & Biotech"," Biotechnology"," Wholesale & Distribution"," Wholesale & Distribution Other"
"Alcoa"," New York"," NY"," 50K - 100K"," Manufacturing"," Metals Manufacturing"," Manufacturing"," Manufacturing Other"," Wholesale & Distribution"," Metal & Mineral Wholesalers"
"National Oilwell Varco Inc."," Houston"," TX"," 50K - 100K"," Manufacturing"," Manufacturing Other"," Energy & Utilities"," Gasoline and Oil Refineries"," Manufacturing"," Heavy Machinery"
"Baker Hughes Incorporated"," Houston"," TX"," 50K - 100K"," Energy & Utilities"," Gasoline and Oil Refineries"," Manufacturing"," Farming and Mining Machinery and Equipment"," Manufacturing"," Heavy Machinery"
"US Foods"," Rosemont"," IL"," 10K - 50K"," Wholesale & Distribution"," Grocery and Food Wholesalers"
"Time Warner Cable"," New York"," NY"," 10K - 50K"," Telecommunications"," Cable Television Providers"," Telecommunications"," Telephone Service Providers and Carriers"," Media & Entertainment"," Radio and Television Broadcasting"
"Union Pacific Corporation"," Omaha"," NE"," 10K - 50K"," Transportation & Storage"," Freight Hauling (Rail and Truck)"
"Abbott Laboratories"," Abbott Park"," IL"," 50K - 100K"," Healthcare"," Pharmaceuticals"," & Biotech"," Pharmaceuticals"," Healthcare"," Pharmaceuticals"," & Biotech"," Biotechnology"," Manufacturing"," Chemicals and Petrochemicals"
"Xerox Sales"," El Segundo"," CA"," > 100K"," Computers & Electronics"," Computers & Electronics Other"
"Xerox Corporation"," Norwalk"," CT"," > 100K"," Computers & Electronics"," Office Machinery and Equipment"," Manufacturing"," Aerospace and Defense"," Business Services"," Sales Services"
"Arrow Electronics Inc."," Centennial"," CO"," 10K - 50K"," Computers & Electronics"," Networking Equipment and Systems"," Computers & Electronics"," Instruments and Controls"," Business Services"," Sales Services"
"Kimberly-Clark Corporation"," Irving"," TX"," 10K - 50K"," Manufacturing"," Paper and Paper Products"," Healthcare"," Pharmaceuticals"," & Biotech"," Medical Supplies and Equipment"," Manufacturing"," Manufacturing Other"
"U.S. Bancorp"," Minneapolis"," MN"," 50K - 100K"," Financial Services"," Banks"," Financial Services"," Lending and Mortgage"," Financial Services"," Credit Cards and Related Services"
"United Services Automobile Association"," San Antonio"," TX"," 10K - 50K"," Financial Services"," Personal Financial Planning and Private Banking"," Financial Services"," Securities Agents and Brokers"," Financial Services"," Credit Cards and Related Services"
"Freeport-McMoRan Copper & Gold "," Phoenix"," AZ"," 50K - 100K"," Agriculture & Mining"," Mining and Quarrying"
"Icahn Enterprises LP"," New York"," NY"," 250 - 1000"," Financial Services"," Investment Banking and Venture Capital"," Financial Services"," Personal Financial Planning and Private Banking"
"ManpowerGroup Inc."," Milwaukee"," WI"," 10K - 50K"," Business Services"," HR and Recruiting Services"," Business Services"," Management Consulting"," Business Services"," Payroll Services"
"HollyFrontier Corporation"," Dallas"," TX"," 1K - 10K"," Energy & Utilities"," Gasoline and Oil Refineries"
"Global Partners LP"," Waltham"," MA"," 100 - 250"," Retail"," Gasoline Stations"," Wholesale & Distribution"," Petroleum Products Wholesalers"
"Goodyear Tire & Rubber Co."," Akron"," OH"," 50K - 100K"," Manufacturing"," Plastics and Rubber Manufacturing"
"PBF ENERGY PARTNERS LP"," Parsippany"," NJ"," 1K - 10K"," Energy & Utilities"," Gasoline and Oil Refineries"
"Danaher Corp."," Washington"," DC"," 50K - 100K"," Manufacturing"," Tools"," Hardware and Light Machinery"
"Nucor Corporation"," Charlotte"," NC"," 10K - 50K"," Manufacturing"," Metals Manufacturing"
"Kohl's Corporation"," Menomonee Falls"," WI"," 10K - 50K"," Retail"," Department Stores"," Retail"," Clothing and Shoes Stores"," Retail"," Jewelry"," Luggage"," and Leather Goods Stores"
"AbbVie Inc"," North Chicago"," IL"," 10K - 50K"," Healthcare"," Pharmaceuticals"," & Biotech"," Pharmaceuticals"
"Whirlpool Corporation"," Benton Harbor"," MI"," 50K - 100K"," Manufacturing"," Tools"," Hardware and Light Machinery"
"Amgen Inc"," Thousand Oaks"," CA"," 10K - 50K"," Healthcare"," Pharmaceuticals"," & Biotech"," Biotechnology"," Healthcare"," Pharmaceuticals"," & Biotech"," Pharmaceuticals"
"Jabil Circuit Inc."," Saint Petersburg"," FL"," > 100K"," Computers & Electronics"," Semiconductor and Microchip Manufacturing"
"Kraft Foods Group Inc."," Northfield"," IL"," 10K - 50K"," Retail"," Grocery and Specialty Food Stores"
"Progressive Corporation"," Cleveland"," OH"," 10K - 50K"," Financial Services"," Insurance and Risk Management"
"CenturyLink Inc."," Monroe"," LA"," 10K - 50K"," Telecommunications"," Telephone Service Providers and Carriers"
"General Mills Inc."," Minneapolis"," MN"," > 100K"," Manufacturing"," Food & Dairy Product Manufacturing and Packaging"," Wholesale & Distribution"," Grocery and Food Wholesalers"
"Southwest Airlines Corporation"," Dallas"," TX"," 10K - 50K"," Transportation & Storage"," Air Couriers and Cargo Services"
"Altria Group Inc."," Richmond"," VA"," 1K - 10K"," Manufacturing"," Manufacturing Other"
"AutoNation"," Fort Lauderdale"," FL"," 10K - 50K"," Retail"," Automobile Dealers"," Consumer Services"," Automotive Repair & Maintenance"," Retail"," Retail Other"
"Chesapeake Energy Corporation"," Oklahoma City"," OK"," 10K - 50K"," Energy & Utilities"," Gas and Electric Utilities"," Energy & Utilities"," Gasoline and Oil Refineries"," Agriculture & Mining"," Mining and Quarrying"
"Dollar General Corporation"," Goodlettsville"," TN"," 50K - 100K"," Retail"," Department Stores"," Retail"," Grocery and Specialty Food Stores"," Retail"," Office Supplies Stores"
"TRW Automotive Holdings Corp."," Livonia"," MI"," 50K - 100K"," Manufacturing"," Automobiles"," Boats and Motor Vehicles"," Manufacturing"," Manufacturing Other"
"United States Steel Corporation"," Pittsburgh"," PA"," 10K - 50K"," Manufacturing"," Manufacturing Other"," Manufacturing"," Heavy Machinery"," Manufacturing"," Concrete"," Glass"," and Building Materials"
"Colgate-Palmolive"," New York"," NY"," 10K - 50K"," Consumer Services"," Personal Care"," Healthcare"," Pharmaceuticals"," & Biotech"," Personal Health Care Products"," Consumer Services"," Consumer Services Other"
"Cummins Inc."," Columbus"," IN"," 10K - 50K"," Manufacturing"," Heavy Machinery"," Business Services"," Sales Services"
"PACCAR Inc."," Bellevue"," WA"," 10K - 50K"," Manufacturing"," Automobiles"," Boats and Motor Vehicles"
"Southern Company"," Atlanta"," GA"," 10K - 50K"," Energy & Utilities"," Gas and Electric Utilities"," Energy & Utilities"," Energy & Utilities Other"," Energy & Utilities"," Alternative Energy Sources"
